text,profanity_class
у меня вела муравьева марина витальевна почему то не вижу в списке и это был самый унылый и мучительный электив для меня домашки просто море она простая но ее слишком много на парах могут рассказать какие то интересные детали но чтобы до них дойти надо продраться сквозь боль и уныние преподаватель хорошая понимающая помогает во всем но интереснее от этого не становится большая разница в уровнях языка студентов тоже очень вредила,1
электив точно будет интересен для тех кто ранее читал немецкую литературу знаком с авторами и возможно среди них любимые сужу по себе перечитать все что есть в программе вряд ли удастся но пару книг прочесть можно легко электив может вернуть желание читать художественную литературу если вы когда то забросили это преподавательница отличная компетентная и старается вести семинары в виде дискуссии многое зависит от состава группы которая насобирается на электив так как больше половины времени слушаются доклады участников группы и обсуждаются,1
подойдет для тех кому действительно интересна данная тема никакой серьезной теоретической базы не дают поэтому спокойно можно идти если тебе просто интересно полезный на практике на парах ничего сложного есть кейсы которые нужно решать обещанные в названии электива в конце для зачета необходимо сделать доклад презентацию о выбранной стране и их культуре с упором на коммуникацию с жителями этой страны закрыться не трудно если посещать пары и делать дз домашние задания не сложные но на них нужно потратить время посмотреть фильм прочесть статью проанализировав увиденное прочитанное и тд  с планом написанным в модеусе не очень соотносится большинство заявленных тем не будет освещено но возможно зависит от группы нас было мало,1
ужасно не понравился электив лекции были очень скучными в них была необходимая информация для решения задач но преподавательница отказывалась выкладывать их в тимсе выложила только ближе к концу и то только часть однобалльная система оценивания на семинарах просто давали задания без каких либо пояснений помощи особо тоже не было проверка этих заданий была очень долгой за одну пару в лучшем случае проверяли у троих потому что преподавательница одни и те же  действия в разных задачах проверяла везде как по мне можно было посмотреть в  или  и дальше уже опускать такие моменты времени тратилось бы намного меньше задание состояло из  задач и десятая была самая сложная и вот ее надо было бы прокомментировать объяснить но это преподавательница делала только когда ты сама у нее спрашиваешь но если вы думаете что она даст вам полный исчерпывающий ответ то вы очень ошибаетесь она будет давать какой нибудь наводящий комментарий который особо вам ничего не даст стоить отметить что баллы ставились после того как правильно были выполнены все  задач а например половину от количества баллов за половину выполненных заданий не ставили может быть в конце она и выставила так я точно не знаю я еле еле но закрылась закрыться было очень тяжело насколько мне известно автоматом закрылись только  человека крайне не рекомендую данный электив,1
ужасно не понравился электив лекции были очень скучными в них была необходимая информация для решения задач но преподавательница отказывалась выкладывать их в тимсе выложила только ближе к концу и то только часть однобалльная система оценивания на семинарах просто давали задания без каких либо пояснений помощи особо тоже не было проверка этих заданий была очень долгой за одну пару в лучшем случае проверяли у троих потому что преподавательница одни и те же простейшие действия в разных задачах проверяла везде как по мне можно было посмотреть в  или  и дальше уже опускать такие моменты времени тратилось бы намного меньше задание состояло из  задач и десятая была самая сложная и вот ее надо было бы прокомментировать объяснить но это преподавательница делала только когда ты сама у нее спрашиваешь но если вы думаете что она даст вам полный исчерпывающий ответ то вы очень ошибаетесь она будет давать какой нибудь наводящий комментарий который особо вам ничего не даст стоить отметить что баллы ставились после того как правильно были выполнены все  задач а например половину от количества баллов за половину выполненных заданий не ставили может быть в конце она и выставила так я точно не знаю я еле еле но закрылась закрыться было очень тяжело насколько мне известно автоматом закрылись только  человека крайне не рекомендую данный электив,1
лекции иногда скучные но кому то было очень интересно за присутствие на них баллы ставят на практике было очень интересно почти всегда работали в группах и обсуждали работы вступали в дискуссию были пары посвященные самоанализу решали тесты баллы получить легко если сильно не пропускать,1
все время электива вы будете играть в лапту и в целом это интересно и несложно вся проблема в преподавателе сейчас уже конец семестра а мы так и не понимаем на что закрываемся так как преподаватель просто не ставит баллы также мы не работаем в рамках дисциплины в олимпии только первое время а должны ездить на стадион бенат который расположен очень далеко преподаватель не отвечает на вопросы касающиеся дисциплины и любит использовать манипуляции по типу поставлю зачет если посетите соревнования иили поучавствуетет в них в итоге свои обещания он не сдерживал на этом все электив хороший но преподаватель оставляет желать лучшего,1
один из лучших элективов на которые я ходила для того чтобы с нуля изучить верстку сайтов самое то весь нужный материал подробно разбирается на лекциях по каждой теме даются лабораторные работы от самых простых до более сложных в конце и придется реально работать и делать почти все лабы для зачета причем не просто делать а стараться делать хорошо ведь пчелы мед говно и мухи цитата имеется в виду смешение разных подходов в верстке при создании одной страницы не принимаются по итогу вы получите навык верстки и запас забавных цитат галины борисовны ,1
это хороший электив особенно подойдет ленгвистам и филологам  преподователь очень добрый и веселый на парах рассказывает особенности языка либо работает со студентами практически главное ходить на пары и на них активно работать дз не задают не считая презентации в конце семестра,1
интересный электив для тех кто хотел бы подтянуть свои знания по географии организовано все следующим образом  на лекция проходятся поочередно разные части света  европа северная и южная америка африка ближний восток азия рассказывают про то какие страны в них расположены валюты языки население стран общая информация и разные интересные факты о них на некоторых лекциях показывался личный опыт путешествий в европе для того чтобы получать баллы нужно во первых посещать лекции  балла за каждую если не ошибаюсь и делать контурные карты по пройденным на лекциях частям света да нужно будет купить контурные карты как в школе либо же просто распечатывать их задание состоит в том чтобы отметить границы и названия государств их столицы формы правления валюты и государственные языки нарисовать их флаги каждую такую карту нужно защитить это небольшой опрос от преподавателя по пустой карте какая страна какая столица и т д  резюмируя хочу сказать что электив был интересным потому что сам преподаватель является на мой взгляд интересным человеком на лекциях скучать не приходилось но нельзя сказать что его очень просто закрыть у меня на каждую карту уходило по   часов плюс время на разучивание стран и информации о них поэтому легкость  из ,1
если вы не с инбио думаю будет сложновато лекции довольно увлекательные всегда отпускали пораньше лаб не было вместо них в тимсе задавали пару ситуативных задач по пройденной теме сроком выполнения неделя но все легко гуглится в целом но препод любит чтобы было написано своими словами если никогда не касались темы гормонов будет интересно,1
отличный электив для людей кому интересны сети и работа в ос  все это здесь есть преподаватель замечательно объясняет материал и дает вполне посильные практические задания на лекциях обычно разбираем  сетей и  работы в  поработали с дистрибутивами    лабораторные выполняли с использованием   заработать зачет вполне возможно если ходить на пары и выполнять лабораторные работы баллы в основном за них полным новичкам вероятно будет сложновато но все темы разбираются с азов так что главное желание и время,1
